year,yday,tmax (deg c),tmin (deg c)
2021,286,32.46,21.03
2021,287,32.12,21.33
2021,288,32.22,20.29
2021,289,32.01,19.47
2021,290,28.15,16.96
2021,291,27.96,13.54
2021,292,29.39,15.47
2021,293,30.11,15.04
2021,294,30.48,16.02
2021,295,31.59,17.43
2021,296,31.45,18.26
2021,297,30.75,19.70
2021,298,28.11,20.26
2021,299,28.75,19.65
2021,300,28.35,13.36
2021,301,26.67,15.57
2021,302,26.64,18.77
2021,303,22.00,13.83
2021,304,22.17,12.10
2021,305,23.24,9.04
2021,306,28.38,13.22
2021,307,27.90,14.19
2021,308,25.03,15.66
2021,309,18.74,15.04
2021,310,16.49,11.35
2021,311,21.78,9.16
2021,312,23.36,7.34
2021,313,25.57,7.75
2021,314,25.71,12.41
2021,315,27.89,17.35
2021,316,25.14,16.74
2021,317,25.14,12.52
2021,318,21.91,7.71
2021,319,22.40,6.23
2021,320,25.17,6.64
2021,321,27.76,9.29
2021,322,26.35,15.45
2021,323,26.74,16.25
2021,324,23.83,16.36
2021,325,26.96,16.88
2021,326,24.36,16.37
2021,327,18.50,8.36
2021,328,21.79,6.16
2021,329,23.92,8.87
2021,330,24.40,8.85
2021,331,20.34,5.00
2021,332,20.58,5.29
2021,333,21.39,6.20
2021,334,20.98,3.67
2021,335,24.88,4.24
2021,336,23.69,7.60
2021,337,24.40,7.69
2021,338,23.96,8.46
2021,339,26.15,9.27
2021,340,27.63,10.95
2021,341,26.24,13.60
2021,342,28.26,15.29
2021,343,26.10,17.96
2021,344,28.91,14.92
2021,345,28.96,16.02
2021,346,27.84,16.61
2021,347,27.56,15.73
2021,348,26.02,16.77
2021,349,25.65,16.59
2021,350,28.24,17.70
2021,351,28.15,15.33
2021,352,28.19,15.74
2021,353,28.80,16.53
2021,354,20.31,15.46
2021,355,21.72,13.96
2021,356,17.11,7.78
2021,357,20.12,4.70
2021,358,24.42,6.91
2021,359,25.15,9.32
2021,360,25.83,11.11
2021,361,25.91,11.56
2021,362,27.47,11.08
2021,363,28.43,13.87
2021,364,28.01,16.33
2021,365,28.89,17.45
2022,1,28.72,15.05
2022,2,28.61,17.32
2022,3,22.40,11.03
2022,4,22.62,5.77
2022,5,23.04,9.75
2022,6,23.48,7.56
2022,7,23.89,11.06
2022,8,25.29,8.76
2022,9,27.90,12.42
2022,10,25.64,13.23
2022,11,21.06,7.60
2022,12,22.94,8.58
2022,13,21.08,9.64
2022,14,20.35,7.04
2022,15,22.99,3.84
2022,16,20.12,10.42
2022,17,16.31,8.80
2022,18,16.87,2.59
2022,19,22.97,3.30
2022,20,25.62,6.67
2022,21,23.88,9.42
2022,22,14.81,6.23
2022,23,10.41,4.66
2022,24,16.50,-0.79
2022,25,12.32,6.27
2022,26,14.79,9.24
2022,27,18.39,11.74
2022,28,18.99,9.68
2022,29,15.14,3.71
2022,30,14.13,-2.33
2022,31,20.76,-0.47
2022,32,22.67,2.07
2022,33,26.41,7.00
2022,34,28.38,12.59
2022,35,29.29,14.78
2022,36,24.97,12.42
2022,37,14.85,9.73
2022,38,17.08,8.97
2022,39,12.03,9.19
2022,40,18.25,6.11
2022,41,20.65,3.50
2022,42,24.82,5.35
2022,43,27.13,8.36
2022,44,23.83,12.48
2022,45,17.99,4.58
2022,46,22.08,3.43
2022,47,26.85,8.52
2022,48,30.12,14.85
2022,49,28.61,17.64
2022,50,24.29,14.56
2022,51,26.33,7.62
2022,52,27.91,11.02
2022,53,29.26,13.32
2022,54,29.94,15.26
2022,55,30.37,14.29
2022,56,30.23,14.84
2022,57,30.29,13.46
2022,58,29.37,15.75
2022,59,25.04,14.19
2022,60,24.97,11.72
2022,61,26.41,6.75
2022,62,28.75,8.53
2022,63,29.77,10.46
2022,64,29.82,13.04
2022,65,30.79,13.90
2022,66,31.16,16.17
2022,67,29.90,17.44
2022,68,31.31,20.30
2022,69,25.09,18.20
2022,70,28.67,18.67
2022,71,23.00,11.12
2022,72,18.34,1.50
2022,73,25.57,6.30
2022,74,26.05,14.38
2022,75,26.80,16.67
2022,76,27.09,14.52
2022,77,32.39,12.10
2022,78,31.57,15.24
2022,79,26.70,14.31
2022,80,28.08,7.85
2022,81,29.60,11.04
2022,82,29.94,18.73
2022,83,23.69,18.07
2022,84,24.12,12.48
2022,85,24.55,9.58
2022,86,26.01,11.38
2022,87,27.86,12.24
2022,88,30.25,11.55
2022,89,30.95,14.14
2022,90,28.40,18.65
2022,91,28.55,19.03
2022,92,26.10,15.57
2022,93,26.82,14.79
2022,94,29.13,12.21
2022,95,31.54,17.17
2022,96,31.15,20.85
2022,97,27.12,20.08
2022,98,23.02,14.09
2022,99,21.26,10.90
2022,100,24.38,5.22
2022,101,28.25,7.06
2022,102,29.39,13.23
2022,103,29.50,15.29
2022,104,29.49,19.25
2022,105,30.80,19.53
2022,106,31.11,17.62
2022,107,31.86,18.94
2022,108,29.63,19.32
2022,109,26.92,16.27
2022,110,27.54,11.56
2022,111,28.40,15.04
2022,112,28.14,14.96
2022,113,29.62,16.25
2022,114,30.74,16.76
2022,115,31.31,17.38
2022,116,31.84,16.69
2022,117,31.59,17.27
2022,118,29.90,19.14
2022,119,30.08,17.04
2022,120,30.43,18.38
2022,121,31.37,17.93
2022,122,31.86,17.61
2022,123,31.53,20.66
2022,124,32.42,18.46
2022,125,34.22,19.61
2022,126,33.48,20.07
2022,127,31.14,21.01
2022,128,31.63,19.04
2022,129,30.11,18.35
2022,130,29.36,13.81
